"","Grid Size","Value","Analysis"
"389","3200","7","Median"
"390","3225","7.704","Mean"
"391","3225","8","Mode"
"392","3225","8","Median"
"393","3250","7.582","Mean"
"394","3250","6","Mode"
"395","3250","7","Median"
"396","3275","7.665","Mean"
"397","3275","7","Mode"
"398","3275","7.5","Median"
"399","3300","7.6","Mean"
"400","3300","7","Mode"
"401","3300","7","Median"
"402","3325","7.855","Mean"
"403","3325","8","Mode"
"404","3325","8","Median"
"405","3350","7.715","Mean"
"406","3350","8","Mode"
"407","3350","8","Median"
"408","3375","7.684","Mean"
"409","3375","7","Mode"
"410","3375","7","Median"
"411","3400","7.656","Mean"
"412","3400","7","Mode"
"413","3400","7","Median"
"414","3425","7.699","Mean"
"415","3425","7","Mode"
"416","3425","8","Mode"
"417","3425","8","Median"
"418","3450","7.769","Mean"
"419","3450","7","Mode"
"420","3450","8","Median"
"421","3475","7.685","Mean"
"422","3475","8","Mode"
"423","3475","8","Median"
"424","3500","7.646","Mean"
"425","3500","7","Mode"
"426","3500","8","Median"
"427","3525","7.73","Mean"
"428","3525","7","Mode"
"429","3525","7","Median"
"430","3550","7.94","Mean"
"431","3550","7","Mode"
"432","3550","8","Median"
"433","3575","7.664","Mean"
"434","3575","7","Mode"
"435","3575","8","Median"
"436","3600","7.693","Mean"
"437","3600","7","Mode"
"438","3600","7","Median"
"439","3625","7.708","Mean"
"440","3625","7","Mode"
"441","3625","8","Median"
"442","3650","7.794","Mean"
"443","3650","7","Mode"
"444","3650","8","Median"
"445","3675","7.833","Mean"
"446","3675","8","Mode"
"447","3675","8","Median"
"448","3700","7.626","Mean"
"449","3700","7","Mode"
"450","3700","7","Median"
"451","3725","7.865","Mean"
"452","3725","6","Mode"
"453","3725","8","Median"
"454","3750","7.738","Mean"
"455","3750","7","Mode"
"456","3750","7","Median"
"457","3775","7.641","Mean"
"458","3775","7","Mode"
"459","3775","7","Median"
"460","3800","7.824","Mean"
"461","3800","8","Mode"
"462","3800","8","Median"
"463","3825","7.887","Mean"
"464","3825","7","Mode"
"465","3825","8","Median"
"466","3850","7.795","Mean"
"467","3850","7","Mode"
"468","3850","8","Median"
"469","3875","7.758","Mean"
"470","3875","8","Mode"
"471","3875","8","Median"
"472","3900","7.762","Mean"
"473","3900","7","Mode"
"474","3900","8","Median"
"475","3925","7.819","Mean"
"476","3925","7","Mode"
"477","3925","8","Median"
"478","3950","7.903","Mean"
"479","3950","8","Mode"
"480","3950","8","Median"
"481","3975","7.908","Mean"
"482","3975","7","Mode"
"483","3975","8","Mode"
"484","3975","8","Median"
"485","4000","7.932","Mean"
"486","4000","8","Mode"
"487","4000","8","Median"
"488","4025","7.772","Mean"
"489","4025","7","Mode"
"490","4025","8","Median"
"491","4050","7.905","Mean"
"492","4050","7","Mode"
"493","4050","8","Median"
"494","4075","7.781","Mean"
"495","4075","8","Mode"
"496","4075","8","Median"
"497","4100","7.787","Mean"
"498","4100","7","Mode"
"499","4100","8","Median"
"500","4125","8.061","Mean"
"501","4125","8","Mode"
"502","4125","8","Median"
"503","4150","7.914","Mean"
"504","4150","7","Mode"
"505","4150","8","Mode"
"506","4150","8","Median"
"507","4175","7.943","Mean"
"508","4175","8","Mode"
"509","4175","8","Median"
"510","4200","7.92","Mean"
"511","4200","7","Mode"
"512","4200","8","Median"
"513","4225","7.897","Mean"
"514","4225","8","Mode"
"515","4225","8","Median"
"516","4250","7.976","Mean"
"517","4250","8","Mode"
"518","4250","8","Median"
"519","4275","7.933","Mean"
"520","4275","7","Mode"
"521","4275","8","Median"
"522","4300","7.958","Mean"
"523","4300","8","Mode"
"524","4300","8","Median"
"525","4325","7.865","Mean"
"526","4325","7","Mode"
"527","4325","8","Median"
